Name,new_name
VERIZON VIRGINIA 1989 8 3/8% 01/10/29 P10/99 - CMPB (~U$) - COMPOSITE PR BID,VERIZON BID
VERIZON VIRGINIA 1989 8 3/8% 01/10/29 P10/99 - CMPA (~U$) - COMPOSITE PR ASK,VERIZON ASK
VERIZON MARYLAND 1989 8% 15/10/29 P10/96 - CMPB (~U$) - COMPOSITE PR BID,VERIZON BID
VERIZON MARYLAND 1989 8% 15/10/29 P10/96 - CMPA (~U$) - COMPOSITE PR ASK,VERIZON ASK
THE P&G.CO. 1989 8% 26/10/29 P10/96 - CMPB (~U$) - COMPOSITE PR BID,P&G BID
THE P&G.CO. 1989 8% 26/10/29 P10/96 - CMPA (~U$) - COMPOSITE PR ASK,P&G ASK
VERIZON NEW ENGLAND 1989 7 7/8% 15/11/29 P11/96 - CMPB (~U$) - COMPOSITE PR BID,VERIZON BID
VERIZON NEW ENGLAND 1989 7 7/8% 15/11/29 P11/96 - CMPA (~U$) - COMPOSITE PR ASK,VERIZON ASK
VERIZON NJ.INCO. 1989 7.85% 15/11/29 P11/99 - CMPB (~U$) - COMPOSITE PR BID,VERIZON BID
VERIZON NJ.INCO. 1989 7.85% 15/11/29 P11/99 - CMPA (~U$) - COMPOSITE PR ASK,VERIZON ASK
UNITED PARCEL SER 1989 8 3/8% 01/04/20 S - CMPB (~U$) - COMPOSITE PR BID,UNITED PARCEL SER BID
UNITED PARCEL SER 1989 8 3/8% 01/04/20 S - CMPA (~U$) - COMPOSITE PR ASK,UNITED PARCEL SER ASK
ROHM & HAAS COMPANY 1990 9.8% 15/04/20 S - CMPB (~U$) - COMPOSITE PR BID,ROHM & HAAS COMPANY BID
ROHM & HAAS COMPANY 1990 9.8% 15/04/20 S - CMPA (~U$) - COMPOSITE PR ASK,ROHM & HAAS COMPANY ASK
TARGET CORPORATION 1990 9.35% 16/06/20 E - CMPB (~U$) - COMPOSITE PR BID,TARGET CORPORATION BID
TARGET CORPORATION 1990 9.35% 16/06/20 E - CMPA (~U$) - COMPOSITE PR ASK,TARGET CORPORATION ASK
TARGET CORPORATION 1990 9 7/8% 01/07/20 S - CMPB (~U$) - COMPOSITE PR BID,TARGET CORPORATION BID
TARGET CORPORATION 1990 9 7/8% 01/07/20 S - CMPA (~U$) - COMPOSITE PR ASK,TARGET CORPORATION ASK
P&G.PROFIT SHARING 1990 9.36% 01/01/21 A - CMPB (~U$) - COMPOSITE PR BID,P&G BID
P&G.PROFIT SHARING 1990 9.36% 01/01/21 A - CMPA (~U$) - COMPOSITE PR ASK,P&G ASK
VERIZON PENN.LLC 1990 8.35% 15/12/30 P12/02 - CMPB (~U$) - COMPOSITE PR BID,VERIZON BID
VERIZON PENN.LLC 1990 8.35% 15/12/30 P12/02 - CMPA (~U$) - COMPOSITE PR ASK,VERIZON ASK
RAYTHEON TECHS. 1991 8 3/4% 01/03/21 S - CMPB (~U$) - COMPOSITE PR BID,RAYTHEON TECHS. BID
RAYTHEON TECHS. 1991 8 3/4% 01/03/21 S - CMPA (~U$) - COMPOSITE PR ASK,RAYTHEON TECHS. ASK
CATERPILLAR INCO 1991 9 3/8% 15/03/21 S - CMPB (~U$) - COMPOSITE PR BID,CATERPILLAR INCO BID
CATERPILLAR INCO 1991 9 3/8% 15/03/21 S - CMPA (~U$) - COMPOSITE PR ASK,CATERPILLAR INCO ASK
DOW CHEMICAL CO 1991 9% 01/04/21 S - CMPB (~U$) - COMPOSITE PR BID,DOW BID
DOW CHEMICAL CO 1991 9% 01/04/21 S - CMPA (~U$) - COMPOSITE PR ASK,DOW ASK
TARGET CORPORATION 1991 9.7% 15/06/21 S - CMPB (~U$) - COMPOSITE PR BID,TARGET CORPORATION BID
TARGET CORPORATION 1991 9.7% 15/06/21 S - CMPA (~U$) - COMPOSITE PR ASK,TARGET CORPORATION ASK
VERIZON MARYLAND 1991 8.3% 01/08/31 P08/96 - CMPB (~U$) - COMPOSITE PR BID,VERIZON BID
VERIZON MARYLAND 1991 8.3% 01/08/31 P08/96 - CMPA (~U$) - COMPOSITE PR ASK,VERIZON ASK
THE BOEING COMPANY 1991 8 3/4% 15/08/21 S - CMPB (~U$) - COMPOSITE PR BID,THE BOEING COMPANY BID
THE BOEING COMPANY 1991 8 3/4% 15/08/21 S - CMPA (~U$) - COMPOSITE PR ASK,THE BOEING COMPANY ASK
MOBIL CORPORATION 1991 8 5/8% 15/08/21 S - CMPB (~U$) - COMPOSITE PR BID,MOBIL CORPORATION BID
MOBIL CORPORATION 1991 8 5/8% 15/08/21 S - CMPA (~U$) - COMPOSITE PR ASK,MOBIL CORPORATION ASK
ABC INCORPORATED 1991 8 3/4% 15/08/21 S - CMPB (~U$) - COMPOSITE PR BID,ABC INCORPORATED BID
ABC INCORPORATED 1991 8 3/4% 15/08/21 S - CMPA (~U$) - COMPOSITE PR ASK,ABC INCORPORATED ASK
VERIZON PENN.LLC 1991 8 3/4% 15/08/31 S - CMPB (~U$) - COMPOSITE PR BID,VERIZON BID
VERIZON PENN.LLC 1991 8 3/4% 15/08/31 S - CMPA (~U$) - COMPOSITE PR ASK,VERIZON ASK
TEXACO CAP.INCO. 1991 8 7/8% 01/09/21 S - CMPB (~U$) - COMPOSITE PR BID,TEXACO CAP.INCO. BID
TEXACO CAP.INCO. 1991 8 7/8% 01/09/21 S - CMPA (~U$) - COMPOSITE PR ASK,TEXACO CAP.INCO. ASK
THE BOEING COMPANY 1991 8 3/4% 15/09/31 S - CMPB (~U$) - COMPOSITE PR BID,THE BOEING COMPANY BID
THE BOEING COMPANY 1991 8 3/4% 15/09/31 S - CMPA (~U$) - COMPOSITE PR ASK,THE BOEING COMPANY ASK
DOW CHEMICAL CO 1991 8.85% 15/09/21 S - CMPB (~U$) - COMPOSITE PR BID,DOW BID
DOW CHEMICAL CO 1991 8.85% 15/09/21 S - CMPA (~U$) - COMPOSITE PR ASK,DOW ASK
DUKE ENERGY PRG.LLC 1991 8 5/8% 15/09/21 S - CMPB (~U$) - COMPOSITE PR BID,DUKE BID
DUKE ENERGY PRG.LLC 1991 8 5/8% 15/09/21 S - CMPA (~U$) - COMPOSITE PR ASK,DUKE ASK
TARGET CORPORATION 1991 9% 01/10/21 S - CMPB (~U$) - COMPOSITE PR BID,TARGET CORPORATION BID
TARGET CORPORATION 1991 9% 01/10/21 S - CMPA (~U$) - COMPOSITE PR ASK,TARGET CORPORATION ASK
BURLINGTON RES.LLC 1991 9 1/8% 01/10/21 S - CMPB (~U$) - COMPOSITE PR BID,BURLINGTON RES.LLC BID
BURLINGTON RES.LLC 1991 9 1/8% 01/10/21 S - CMPA (~U$) - COMPOSITE PR ASK,BURLINGTON RES.LLC ASK
PHARMACIA LLC 1991 8.7% 15/10/21 S - CMPB (~U$) - COMPOSITE PR BID,PHARMACIA LLC BID
PHARMACIA LLC 1991 8.7% 15/10/21 S - CMPA (~U$) - COMPOSITE PR ASK,PHARMACIA LLC ASK
