Name,new_name
VERIZON VIRGINIA 1989 8 3/8% 01/10/29 P10/99 - RED. YIELD,VERIZON
VERIZON MARYLAND 1989 8% 15/10/29 P10/96 - RED. YIELD,VERIZON
THE P&G.CO. 1989 8% 26/10/29 P10/96 - RED. YIELD,P&G
VERIZON NEW ENGLAND 1989 7 7/8% 15/11/29 P11/96 - RED. YIELD,VERIZON
VERIZON NJ.INCO. 1989 7.85% 15/11/29 P11/99 - RED. YIELD,VERIZON
UNITED PARCEL SER 1989 8 3/8% 01/04/20 S - RED. YIELD,UNITED PARCEL SER
ROHM & HAAS COMPANY 1990 9.8% 15/04/20 S - RED. YIELD,ROHM & HAAS COMPANY
TARGET CORPORATION 1990 9.35% 16/06/20 E - RED. YIELD,TARGET CORPORATION
TARGET CORPORATION 1990 9 7/8% 01/07/20 S - RED. YIELD,TARGET CORPORATION
P&G.PROFIT SHARING 1990 9.36% 01/01/21 A - RED. YIELD,P&G
VERIZON PENN.LLC 1990 8.35% 15/12/30 P12/02 - RED. YIELD,VERIZON
UNITED TECHNOLOGIES 1991 8 3/4% 01/03/21 S - RED. YIELD,UNITED TECHNOLOGIES
CATERPILLAR INCO 1991 9 3/8% 15/03/21 S - RED. YIELD,CATERPILLAR INCO
DOW CHEMICAL CO 1991 9% 01/04/21 S - RED. YIELD,DOW
TARGET CORPORATION 1991 9.7% 15/06/21 S - RED. YIELD,TARGET CORPORATION
VERIZON MARYLAND 1991 8.3% 01/08/31 P08/96 - RED. YIELD,VERIZON
THE BOEING COMPANY 1991 8 3/4% 15/08/21 S - RED. YIELD,THE BOEING COMPANY
MOBIL CORPORATION 1991 8 5/8% 15/08/21 S - RED. YIELD,MOBIL CORPORATION
ABC INCORPORATED 1991 8 3/4% 15/08/21 S - RED. YIELD,ABC INCORPORATED
VERIZON PENN.LLC 1991 8 3/4% 15/08/31 S - RED. YIELD,VERIZON
TEXACO CAP.INCO. 1991 8 7/8% 01/09/21 S - RED. YIELD,TEXACO CAP.INCO.
THE BOEING COMPANY 1991 8 3/4% 15/09/31 S - RED. YIELD,THE BOEING COMPANY
DOW CHEMICAL CO 1991 8.85% 15/09/21 S - RED. YIELD,DOW
DUKE ENERGY PRG.LLC 1991 8 5/8% 15/09/21 S - RED. YIELD,DUKE
TARGET CORPORATION 1991 9% 01/10/21 S - RED. YIELD,TARGET CORPORATION
BURLINGTON RES.LLC 1991 9 1/8% 01/10/21 S - RED. YIELD,BURLINGTON RES.LLC
PHARMACIA LLC 1991 8.7% 15/10/21 S - RED. YIELD,PHARMACIA LLC
VERIZON COMMS INCO 1991 8 3/4% 01/11/21 S - RED. YIELD,VERIZON
THE BOEING COMPANY 1991 8 5/8% 15/11/31 S - RED. YIELD,THE BOEING COMPANY
TEXACO CAP.INCO. 1991 8 5/8% 15/11/31 S - RED. YIELD,TEXACO CAP.INCO.
FRONTIER SOUTHWEST 1991 8 1/2% 15/11/31 S - RED. YIELD,FRONTIER SOUTHWEST
FORD MOTOR COMPANY 1992 8 7/8% 15/01/22 S - RED. YIELD,FORD
MICHIGAN BE.TEL.CO. 1992 7.85% 15/01/22 S - RED. YIELD,MICHIGAN BE.TEL.CO.
EL PASO NTRL.GAS 1992 8 5/8% 15/01/22 S - RED. YIELD,EL PASO
VERIZON VIRGINIA 1992 7 7/8% 15/01/22 S - RED. YIELD,VERIZON
LOCKHEED MARTIN 1992 9 1/8% 01/02/22 S - RED. YIELD,LOCKHEED MARTIN
COCA-COLA RFRS USA 1992 8 1/2% 01/02/22 S - RED. YIELD,COCA-COLA
FORD MOTOR COMPANY 1992 9.95% 15/02/32 P02/95 - RED. YIELD,FORD
TARGET CORPORATION 1992 8 7/8% 01/04/22 S - RED. YIELD,TARGET CORPORATION
TEXACO CAP.INCO. 1992 8 5/8% 01/04/32 S - RED. YIELD,TEXACO CAP.INCO.
COMCAST CAB COMMS 1992 10 1/8% 15/04/22 S - RED. YIELD,COMCAST
TARGET CORPORATION 1992 8.8% 15/05/22 S - RED. YIELD,TARGET CORPORATION
VERIZON NJ.INCO. 1992 8% 01/06/22 S - RED. YIELD,VERIZON
DOW CAPITAL PLC 1992 8.64% 01/06/22 G - RED. YIELD,DOW
COMCAST CAB COMMS 1992 9 7/8% 15/06/22 S - RED. YIELD,COMCAST
LOCKHEED MARTIN 1992 9% 15/01/22 S - RED. YIELD,LOCKHEED MARTIN
TEXACO CAP.INCO. 1992 8% 01/08/32 S - RED. YIELD,TEXACO CAP.INCO.
THE BOEING COMPANY 1992 7.95% 15/08/24 P08/12 - RED. YIELD,THE BOEING COMPANY
COCA-COLA RFRS USA 1992 8% 15/09/22 S - RED. YIELD,COCA-COLA
OCCIDENT PTL CORP 1993 8 3/4% 15/01/23 S - RED. YIELD,OCCIDENT PTL CORP
LOCKHEED MARTIN 1993 8 3/8% 15/01/23 S - RED. YIELD,LOCKHEED MARTIN
HISTORIC TW INCO. 1993 9.15% 01/02/23 S - RED. YIELD,HISTORIC TW INCO.
CATERPILLAR INCO 1993 8% 15/02/23 S - RED. YIELD,CATERPILLAR INCO
WYETH LLC 1993 7 1/4% 01/03/23 S - RED. YIELD,WYETH LLC
DOW CHEMICAL CO 1993 7 3/8% 01/03/23 S - RED. YIELD,DOW
PACIFIC BE.TEL.CO. 1993 7 1/8% 15/03/26 S - RED. YIELD,PACIFIC BE.TEL.CO.
UNION CARBIDE CORP. 1993 7 7/8% 01/04/23 S - RED. YIELD,UNION CARBIDE CORP.
THE BOEING COMPANY 1993 7 7/8% 15/04/43 S - RED. YIELD,THE BOEING COMPANY
BRISTOL-MR.SQUIBB 1993 7.15% 15/06/23 S - RED. YIELD,BRISTOL-MR.SQUIBB
FORD MOTOR COMPANY 1993 7 3/4% 15/06/43 S - RED. YIELD,FORD
THE BOEING COMPANY 1993 7 1/4% 15/06/25 S - RED. YIELD,THE BOEING COMPANY
TWDC ENTERPRISES 18 1993 7.55% 15/07/93 S - RED. YIELD,TWDC ENTERPRISES
THE COCA-COLA CO 1993 7 3/8% 29/07/93 S - RED. YIELD,COCA-COLA
COCA-COLA RFRS USA 1993 6 3/4% 15/09/23 S - RED. YIELD,COCA-COLA
DOW CHEMICAL CO 1993 7 3/4% 15/09/20 S - RED. YIELD,DOW
LOCKHEED MARTIN 1993 7% 15/09/23 S - RED. YIELD,LOCKHEED MARTIN
WALMART INCO. 1993 6 3/4% 15/10/23 S - RED. YIELD,WALMART INCO.
THE BOEING COMPANY 1993 6 7/8% 15/10/43 S - RED. YIELD,THE BOEING COMPANY
TIME WARN.CAB.ENTS. 1993 8 3/8% 15/03/23 S - RED. YIELD,TIME WARNER CABLE
JOHNSON & JOHNSON 1993 6.73% 15/11/23 S - RED. YIELD,JOHNSON & JOHNSON
THE LNA.LD.&.EXP. 1993 7.65% 01/12/23 S - RED. YIELD,THE LNA.LD.&.EXP.
TIME WARN.CAB.ENTS. 1994 8 3/8% 15/07/33 B - RED. YIELD,TIME WARNER CABLE
THE BOEING COMPANY 1994 7 1/2% 15/08/42 S - RED. YIELD,THE BOEING COMPANY
LOCKHEED MARTIN 1994 8 3/8% 15/06/24 S - RED. YIELD,LOCKHEED MARTIN
THE P&G.CO. 1994 8% 01/09/24 P09/14 - RED. YIELD,P&G
ANADARKO PTL CORP 1995 7 1/4% 15/03/25 P03/00 - RED. YIELD,ANADARKO PTL CORP
BURLINGTON RES.LLC 1995 8.2% 15/03/25 S - RED. YIELD,BURLINGTON RES.LLC
COLGATE-PALMOLIVE 1995 7.6% 19/05/25 B - RED. YIELD,COLGATE-PALMOLIVE
UNION CARBIDE CORP. 1995 6.79% 01/06/25 P06/05 - RED. YIELD,UNION CARBIDE CORP.
UNION CARBIDE CORP. 1995 7 1/2% 01/06/25 S - RED. YIELD,UNION CARBIDE CORP.
LOCKHEED MARTIN 1995 7 5/8% 15/06/25 S - RED. YIELD,LOCKHEED MARTIN
ELI LILLY AND CO. 1995 7 1/8% 01/06/25 S - RED. YIELD,ELI LILLY AND CO.
DUKE EN.OHIO INCO. 1995 6.9% 01/06/25 P06/05 - RED. YIELD,DUKE
GENERAL ELEC CO 1995 7 1/2% 21/08/35 S - RED. YIELD,GENERAL ELEC CO
PDMNT NATGS COIC 1995 7.4% 03/10/25 B - RED. YIELD,PDMNT NATGS COIC
BELLSOUTH TELECOM. 1995 7% 01/10/25 S - RED. YIELD,BELLSOUTH
BELLSOUTH TELECOM. 1995 7% 01/10/25 MBIA - RED. YIELD,BELLSOUTH
EL PASO LLC 1995 7 3/4% 15/10/35 S - RED. YIELD,EL PASO
INTL BUS MCHS CORP 1995 7% 30/10/25 S - RED. YIELD,INTL BUS MCHS CORP
INTL BUS MCHS CORP 1995 7% 30/10/45 S - RED. YIELD,INTL BUS MCHS CORP
FORD MOTOR COMPANY 1995 7 1/8% 15/11/25 S - RED. YIELD,FORD
BELLSOUTH TELECOM. 1995 5.85% 15/11/45 P11/00 - RED. YIELD,BELLSOUTH
BELLSOUTH TELECOM. 1995 7% 01/12/95 S - RED. YIELD,BELLSOUTH
EL PASO TEN PIPE 1995 7 1/4% 15/12/25 S - RED. YIELD,EL PASO
MERCK & CO.INCO. 1996 6.3% 01/01/26 S - RED. YIELD,MERCK
THE P&G.CO. 1996 6.45% 15/01/26 S - RED. YIELD,P&G
